,id,point,crowded_ratio,number_of_people,timestamp,location_group,stamp_timezone,id.1,ip_address,key,datapoint_id,latitude,longitude,geohash
56,166,0101000020E6100000989BB9D1111F49402CC6AF0E369B2C40,1,0,1585238143.475,park,Europe/Prague,166,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,JTCGNLOWTXLHDFU15P24XQ3VH9L1GY5L4P2APUGJ,166,50.2427313,14.3031468,u2fjv6
58,172,0101000020E6100000BBD80F0C7B1F4940C4995FCD019A2C40,1,1,1585239903.192,shop,Europe/Prague,172,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,JTCGNLOWTXLHDFU15P24XQ3VH9L1GY5L4P2APUGJ,172,50.2459426,14.300795,u2fjv6
117,29,0101000020E61000003D8CFFF1141F49401CAFE53A329B2C40,2,3,1585033947.224,park,Europe/Prague,29,ee506e8856b4a8c56790d179a02e6e58e520f9ac6a4dc7729fa025614a8ec1dd,UGZVMTEY44PK3813LWYXQZ4MG2U4PU4T5LE0Y8YK,29,50.2428267,14.3031176,u2fjv6
155,67,0101000020E61000007920B248131F4940EC866D8B329B2C40,3,0,1585113918.487,park,Europe/Prague,67,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,67,50.242776,14.30312,u2fjv6
168,80,0101000020E6100000CE4939A9791F49408D87AD8F3D992C40,1,1,1585130141.053,shop,Europe/Prague,80,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,SBPAKFOWU1QU645BJEQ7M23LZNPCSB51210A0KKW,80,50.2459003,14.2992978,u2fjv6
169,81,0101000020E6100000641E9ECA0E1F494070CD1DFD2F9B2C40,1,1,1585130398.337,park,Europe/Prague,81,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,SBPAKFOWU1QU645BJEQ7M23LZNPCSB51210A0KKW,81,50.2426389,14.3031005,u2fjv6
170,82,0101000020E6100000CDEDB9A7061F4940E6852AEBED992C40,2,2,1585130518.446,playground,Europe/Prague,82,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,SBPAKFOWU1QU645BJEQ7M23LZNPCSB51210A0KKW,82,50.2423906,14.3006433,u2fjv6
211,126,0101000020E61000009042A385151F4940F1B33632349B2C40,1,1,1585215651.29,shop,Europe/Prague,126,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,WOGTPXZUCI2FO8LU1TDN7M1QSL7U51P413GRMWX6,126,50.2428443,14.3031326,u2fjv6
212,127,0101000020E6100000385CF5CA061F4940BC62A131EE992C40,1,0,1585215771.425,playground,Europe/Prague,127,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,WOGTPXZUCI2FO8LU1TDN7M1QSL7U51P413GRMWX6,127,50.2423948,14.3006454,u2fjv6
246,167,0101000020E6100000DF6124C5111F49407FC40A12369B2C40,1,0,1585238249.007,playground,Europe/Prague,167,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,JTCGNLOWTXLHDFU15P24XQ3VH9L1GY5L4P2APUGJ,167,50.2427298,14.3031469,u2fjv6
282,291,0101000020E61000006304F97E0F1F4940077360DE889B2C40,3,1,1585376118.97,park,Europe/Prague,291,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,CIWUNPOYTZPOB2VX1UURMQ34NN3MUBLT5RI8K16W,291,50.2426604,14.3037786,u2fjv6
285,294,0101000020E6100000FBEF1C250A1F4940BABA63B14D9A2C40,3,0,1585377559.93,playground,Europe/Prague,294,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,CIWUNPOYTZPOB2VX1UURMQ34NN3MUBLT5RI8K16W,294,50.2424971,14.301374,u2fjv6
319,328,0101000020E6100000ACF3B924181F4940DC51521674992C40,5,2,1585400744.648,park,Europe/Prague,328,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,UMQAYVWJU8WBQO31A5W011Y7LASHP43BQKYVGW93,328,50.2429243,14.2997138,u2fjv6
320,329,0101000020E6100000D9DDF247071F494056606D31E4992C40,2,4,1585400856.792,playground,Europe/Prague,329,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,UMQAYVWJU8WBQO31A5W011Y7LASHP43BQKYVGW93,329,50.2424097,14.3005691,u2fjv6
359,368,0101000020E610000010FD2488041F49404961832ADA992C40,1,0,1585456177.938,playground,Europe/Prague,368,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,SDEQOUJFC5N1L5BUW3B7D4Q2U6PP4STGNB352TMJ,368,50.2423258,14.3004926,u2fjv6
398,407,0101000020E610000001463C7E141F494073D712F2419B2C40,3,0,1585495621.678,park,Europe/Prague,407,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,WSVZURIA55JEP1JL3649CFBOI413QLPIKUHH9P2F,407,50.2428129,14.3032375,u2fjv6
399,408,0101000020E610000001463C7E141F494073D712F2419B2C40,3,0,1585495719.524,playground,Europe/Prague,408,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,WSVZURIA55JEP1JL3649CFBOI413QLPIKUHH9P2F,408,50.2428129,14.3032375,u2fjv6
439,448,0101000020E61000005C4C7D6A061F494051C3126AE1992C40,3,5,1585559344.475,playground,Europe/Prague,448,fcfc383fc1f015392ce128d1cd7191c99df9bb1f02cfe05bd976b241420c5d77,ABIVHWDCP153QQYQL8NBEXDT1WY09U4U7G9QTAE1,448,50.2423833,14.3005479,u2fjv6
